question,answer,document
Какие предприятия и учреждения охватываются рекомендациями?," Рекомендации применимы для предприятий, учреждений и организаций жилищно-коммунального хозяйства и бюджетной сферы.","['Data1_10_10870_index', 'Data1_10_10858_index', 'Трудовой кодекс Российской Федерации', 'Data1_10_10871_index', 'Гражданский кодекс Российской Федерации']"
Какой стандарт (ГОСТ) регламентирует площадь гранитной брусчатки?," Недостаточно данных в нормативной базе для определения стандарта, который регламентирует площадь гранитной брусчатки.","['Data1_10_10846_index', 'Data1_1_1879_index', 'Уголовно-процессуальный кодекс Российской Федерации', 'Data1_10_10855_index']"
Какие классы материалов представлены в Приложении 5 согласно ГОСТ?," В Приложение 5, как можно увидеть из текста контекста, не указано каких именно классов материалов речь идёт. Классы материалов определяются в стандартах, например в ГОСТах, но для того, чтобы дать точный ответ, нужно уточнить конкретный стандарт или текст, где используется ссылка на ГОСТ 5542-87.","['Data1_10_10849_index', 'Data1_10_10862_index', 'Data1_11_11295_index', 'Data1_2_2116_index', 'Data1_2_2096_index']"
Какие данные необходимы для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд согласно ГОСТ МДС 11-7.2000?," Для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд необходимо применить следующие данные:

1. Технические условия на водоснабжение, заключение органов Государственного надзора (Госкомприрода, СЭС, гидрологическая партия и т.д.).
2. Химический анализ воды в существующем городском водопроводе в местах подключения внутриплощадочных сетей городка при подключении городка к существующим сетям, а также химический и бактериологический анализ воды при вновь строящихся водозаборных сооружениях (на водозаборе, в водоводе 1-го подъема (смесь воды от всех скважин); в точке подключения. сооружений очистки питьевой воды).
3. Данные Гидрометеослужбы по уровням воды и дебиту в реке и пересыханию реки, геология речного дна (при поверхностном водозаборе).
4. Привязки и отметки точек подключения проектируемых сетей к существующим.
5. Проекты водозаборных скважин - при подземном водозаборе.","['Data1_10_10864_index', 'Data1_10_10861_index', 'Data1_1_1904_index', 'Data1_10_10865_index', 'Трудовой кодекс Российской Федерации']"
Какие объекты проектирования указаны в таблице 4 согласно СНиП?," В таблице 4 указано несколько объектов, для которых определяется базовая цена проектирования согласно СНиП:

1. Жилой дом (как отдельное здание и как составная часть многоэтажного дома).
2. Здание общественно-культурного назначения.
3. Здание промышленного назначения.
4. Здание сельскохозяйственного назначения.
5. Сооружение инженерной защиты городских территорий от подтопления (дренажная система).
6. Консоли для навесных сооружений.
7. Здание с ограждающими и несущими конструкциями из монолитного бетона или объемных блоков.
8. Сооружение электроэнергетического назначения.
9. Сооружение электрической защиты.
10. Сооружение противопожарной защиты.
11. Гидроизоляционные сооружения.
12. Полный объем зданий и сооружений в условных единицах (квадрат метр или кубический метр).

При этом таблица позволяет определить базовую цену проектирования для каждого из этих объектов в зависимости от натуральных показателей проектируемых объектов: площади, объема и др.","['Data1_10_10865_index', 'Градостроительный кодекс Российской Федерации', 'Data1_11_11835_index']"
"Какие иные объекты, территории и зоны отображаются на картах?"," На указанных картах в границах территорий субъектов Российской Федерации могут быть отображены также:
- особые экономические зоны;
- особо охраняемые природные территории федерального, регионального и местного значения;
- территории объектов культурного наследия, территории исторических поселений федерального значения и территории исторических поселений регионального значения;
- зоны с особыми условиями использования территорий;
- территории, подверженные риску возникновения чрезвычайных ситуаций природного и техногенного характера;
- объекты, используемые для утилизации, обезвреживания, захоронения твердых коммунальных отходов и включенные в территориальную схему в области обращения с отходами, в том числе с твердыми коммунальными отходами;
- иные объекты, иные территории и (или) зоны.",['Градостроительный кодекс Российской Федерации']
Какие права имеет юридическое лицо на доступ к материалам дела?," Юридическое лицо имеет следующие права на доступ к материалам дела, как это указано в статье 35 Кодекса арбитражного судопроизводства:

1. Право знакомиться с материалами дела и делать выписки из них, снимать копии;
2. Право заявлять отводы (заключающиеся в прекращении участия в судебном разбирательстве);
3. Право представлять доказательства и участвовать в их исследовании, а также задавать вопросы другим лицам, участвующим в деле;
4. Право заявлять ходатайства (инициативные предложения о принятии судебного решения) и обжаловать судебные постановления;
5. Право получать судебные повестки и извещения, а также судебные постановления и их копии на бумажном носителе или в электронном виде (включая форму электронного документа).

При этом юридическое лицо обязано добросовестно пользоваться всеми принадлежащими ему процессуальными правами, и злоупотребление этими правами может иметь неблагоприятные последствия.

В случае с арбитражным судом юридическое лицо также имеет право представлять документы в электронном виде, в том числе подписанными электронной подписью. Также при наличии технической возможности может быть предоставлен доступ к материалам дела в электронном виде посредством информационной системы, определенной Верховным Судом Российской Федерации или Судебным департаментом при Верховном Суде.","['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
"Что влечет нарушение порядка и (или) сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав)?"," Нарушение порядка и (или) сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав) влечет взыскание штрафа в размере 20 процентов от суммы такого расчета. Если такое нарушение совершено повторно в течение шести месяцев, то взыскание штрафа составляет сумму такого расчета. Это установлено статьей 129.13 Налогового кодекса Российской Федерации.","['Налоговый кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Какие средства должны быть в портах для защиты окружающей среды?," В портах должны быть средства для защиты окружающей среды, приема и обработки хозяйственно-бытовых и нефтесодержащих вод, других отходов, а также средства для осуществления работ по спасанию судов в пределах акватории порта и ликвидации пожаров.","['Кодекс внутреннего водного транспорта Российской Федерации', 'Data1_10_10865_index', 'Кодекс торгового мореплавания Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Как устанавливается минимальный размер взноса на капитальный ремонт?, Минимальный размер взноса на капита́льный ремонт определяется нормативным правовым актом субъекта Российской Федерации.,['Жилищный кодекс Российской Федерации']
Из каких источников формируются бюджетные ассигнования дорожного фонда субъекта Российской Федерации?," Бюджетные ассигнования дорожного фонда субъекта Российской Федерации формируются из следующих источников:

1. Доходы бюджета субъекта Российской Федерации от акцизов на автомобильный бензин, прямогонный бензин, дизельное топливо, моторные масла для дизельных и (или) карбюраторных (инжекторных) двигателей, производимые на территории Российской Федерации, подлежащих зачислению в бюджет субъекта Российской Федерации;
2. Доходы бюджета субъекта Российской Федерации от транспортного налога (за исключением доходов, установленных законом субъекта Российской Федерации в виде единых нормативов отчислений от транспортного налога в местные бюджеты);
3. Доходы бюджета субъекта Российской Федерации от денежных взысканий (штрафов) за нарушение законодательства Российской Федерации о безопасности дорожного движения;
4. Доходы бюджета субъекта Российской Федерации от иных поступлений в бюджет субъекта Российской Федерации, утвержденных законом субъекта Российской Федерации, предусматривающим создание дорожного фонда субъекта Российской Федерации;
5. Межбюджетные трансферты из федерального бюджета бюджетам субъектов Российской Федерации.",['Бюджетный кодекс Российской Федерации']
Что подразумевается под возвращенным жертвователю денежным эквивалентом недвижимого имущества и ценных бумаг?," Вопрос касается пункта 23 части второй статьи 250 Кодекса Российской Федерации о внереализационных доходах.

Согласно тексту, возвращенным жертвователю денежным эквивалентом недвижимого имущества или ценных бумаг понимается сумма в деньгах, которая равна рыночной стоимости (остаточной стоимости) этого имущества на момент возврата.

В случае с недвижимым имуществом рынковая стоимость определяется по состоянию на момент передачи имущества для целей целевого финансирования или благотворительной деятельности, а в случае с ценными бумагами - по состоянию на момент их передачи.

В тексте статьи нет явного указания на то, что этот денежный эквивалент должен быть взятым из капитала организации, которая получает имущество или ценные бумаги, но обычно в таких случаях происходит списание соответствующей суммы из капитала некоммерческой организации.","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какие обосновывающие документы требуются для расчета командировочных расходов согласно ГОСТ МДС 81-7.2000?," Для расчета командировочных расходов необходимы следующие обосновывающие документы:
1. Средняя стоимость одной поездки муниципальным транспортом (вычисляется зависимо от типа транспорта и расстояния).
2. Затраты на осуществление технического надзора и решения оперативных вопросов по строительству объектов (количество посещений объекта в год, стоимость технического надзора и другие расходы).
3. Количество поездок по сбору исходных данных, размещению заказов, согласованию технических и проектных вопросов (стоимость каждой поездки).
4. Комиссионные расходы в случае, если используется транспорт заказчика.
5. Расходы на проживание вне места постоянного жительства (суточные).","['Жилищный кодекс Российской Федерации', 'Data1_11_11295_index', 'Трудовой кодекс Российской Федерации', 'Data1_2_2116_index']"
Как корректируются показатели затрат труда пусконаладочного персонала?," Показатели затрат труда пусконаладочного персонала не корректируются в связи с изменением квалификационного и количественного состава исполнителей на конкретном объекте. Однако, если исчисленная по сборникам РСН величина трудозатрат в целом по локальной ресурсной ведомости на выполнение вида пусконаладочных работ составляет менее 600 чел.-ч, она следует увеличивать согласно таблице 2 «Общих положений по применению сборников ресурсных сметных норм на пусконаладочные работы» (письмо Госстроа России от 24.02.94 г. № 12-29).","['Data1_10_10864_index', 'Data1_2_2081_index']"
Какова процедура назначения членов предварительной квалификационной комиссии согласно ГОСТ МДС 80-5.2000?," Согласно ГОСТ MDS 80-5.2000, процедура назначения членов предварительной квалификационной комиссии следует определить решением тендерного комитета. Члены комиссии утверждаются из числа его членов в количестве не менее 3 человек. Председателем комиссии назначается отдельным решением тендерного комитета и утверждается заказчиком.","['Арбитражный процессуальный кодекс Российской Федерации', 'Data1_10_10867_index', 'Трудовой кодекс Российской Федерации']"
Какие ГОСТы или СНиПы определяют составление сметной документации в текущих ценах?," Определяются состалением сборников ГЭСН (Государственные элементные сметные нормы), которые являются составной частью системы ценообразования и сметного нормирования в строительстве.

В соответствии с Методическими указаниями по определению стоимости строительной продукции на территории Российской Федерации (МДС 81-1.99), при разработке сметной документации в текущих ценах должны применяться утвержденные в установленном порядке Госстроем России Государственные элементные сметные нормы на строительные, монтажные, специальные строительные и пусконаладочные работы (ГЭСН). При отсутствии утвержденных ГЭСН допускается использование иных нормативных документов Госстроя России, утвержденных в установленном порядке.","['Data1_2_2079_index', 'Data1_2_2076_index', 'Data1_10_10062_index', 'Data1_10_10848_index']"
Что происходит в случае нарушения требований к инвестиционному соглашению?," В случае нарушения условий предоставления бюджетных инвестиций, как описано в приведенной статье 15.15.4 Кодекса Российской Федерации об административном управлении и муниципальном управлении, могут быть наложены штрафы или дисквалификация для должностных лиц или юридических лиц.

В конкретном случае с нарушением требований к инвестиционному соглашению, не будучи предоставленными полномочиями государственного (муниципального) заказчика при осуществлении бюджетных инвестиций в объекты государственной (муниципальной) собственности или для юридических лиц, не являющихся государственными (муниципальными) учреждениями и государственным (муниципальным) унитарным предприятием (в части переданных им в порядке, установленном бюджетным законодательством Российской Федерации, полномочий государственного (муниципального) заказчика при осуществлении бюджетных инвестиций в объекты государственной (муниципальной) собственности), штрафы налагаются на должностных лиц и юридических лиц.

В случае нарушения порядка осуществления процедур, включенных в исчерпывающие перечни процедур в сферах строительства, могут быть наложены штрафы или дисквалификация для должностных лиц федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации, органов местного самоуправления и иных осуществляющих функции указанных органов или организаций.

Процесс возмещения вреда, причиненного в результате нарушения требований к инвестиционному соглашению или процедур, включенных в исчерпывающие перечни процедур в сферах строительства, зависит от конкретной ситуации и может регулироваться соответствующими нормативными актами.","['Арбитражный процессуальный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Какая форма используется для предоставления информации о выплатах из средств компенсационного фонда?," Информация о выплатах из средств компенсационного фонда возмещения вреда или компенсационного фонда обеспечения договорных обязательств саморегулируемой организации должна вестись отдельно от учета иного имущества такой организации. Средства компенсационных фондов не могут быть обращены взысканием по обязательствам саморегулируемой организации, за исключением случаев, предусмотренных частями 4 и 5 статьи 55.16 настоящего Кодекса, и такие средства не включаются в конкурсную массу при признании судом саморегулируемой организации несостоятельной (банкротом).

Кредитная организация, указанная в части 1 статьи 55.16-1 настоящего Кодекса, обязана осуществлять операции по специальным банковским счетам, на которых размещены средства компенсационных фондов саморегулируемой организации, в соответствии с требованиями частей 4 и 5 статьи 55.16 настоящего Кодекса. Иные операции по специальным банковским счетам не допускаются.

Права на средства компенсационных фондов принадлежат владельцу счетов. При исключении саморегулируемой организации из государственного реестра саморегулируемых организаций права на средства компенсационного фонда возмещения вреда и компенсационного фонда обеспечения договорных обязательств переходят к Национальному объединению саморегулируемых организаций, членом которой являлась такая саморегулируемая организация. В этом случае Национальное объединение саморегулируемых организаций в течение одного рабочего дня со дня получения уведомления органа надзора за саморегулируемыми организациями об исключении сведений о саморегулируемой организации из государственного реестра саморегулируемых организаций обязано направить в соответствующую кредитную организацию требование по форме, установленной Правительством Российской Федерации, о переводе на специальный банковский счет (счета) указанного Национального объединения саморегулируемых организаций средств компенсационного фонда возмещения вреда и компенсационного фонда обеспечения договорных обязательств саморегулируемой организации. Кредитная организация переводит средства компенсационного фонда (компенсационных фондов) указанной некоммерческой организации в соответствии с таким требованием о переводе.

Выплаты из компенсационных фондов возмещения вреда и компенсационного фонда обеспечения договорных обязательств выполняются кредитной организацией в соответствии с требованиями частей 4 и 5 статьи 55.16 настоящего Кодекса.

В случаях, порядке и на условиях, которые установлены Правительством Российской Федерации, средства компенсационного фонда возмещения вреда саморегулируемой организации могут передаваться в доверительное управление управляющей компании, имеющей лицензию на осуществление деятельности по управлению ценными бумагами или лицензию на осуществление деятельности по управлению инвестиционными фондами, паявыми инвестиционными фондами и негосударственными пенсионными фондами.

Поэтому информация о выплатах из средств компенсационного фонда может быть предоставлена через кредитную организацию, указанную в части 1 статьи 55.16-1 настоящего Кодекса.","['Кодекс административного судопроизводства Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какова сметная стоимость стекла матового полированного витринного по ГОСТ МДС 81-10.2000?," Ответ: Недостаточно данных в нормативной базе для определения сметной стоимости стекла матового полированного витринного по ГОСТ МДС 81-10.2000. Требуется анализ информации из федеральных реестров сметных нормативов и указания на тип стекла, размеры, толщину и другие параметры для определения конкретной цены.","['Data1_10_10846_index', 'Градостроительный кодекс Российской Федерации', 'Data1_10_10864_index', 'Data1_10_10754_index']"
"Какие штрафы предусмотрены для должностных лиц за нарушения, предусмотренные частью 1 статьи 6.34?"," Часть 1 статьи 5.63 предусматривает наложение административного штрафа на должностных лиц в размере от десяти тысяч до тридцати тысяч рублей за нарушение требований законодательства, касающихся выдачи специальных разрешений на движение по автомобильным дорогам тяжеловесного и (или) крупногабаритного транспортного средства. В случае повторного совершения административного правонарушения, предусмотренного частью 1 настоящей статьи, наложение административного штрафа влечет наказание в размере от тридцати тысяч до пятидесяти тысяч рублей.","['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
"Как определяется методика расчета стоимости строительства в валюте страны строительства в разделе 4 документа, регламентированного ГОСТом МДС 81-21.2000?"," В разделе 4 документа ГОСТа МДС 81-21.2000 ""Инструкция о порядке составления смет на пусконаладочные работы на вводимых в эксплуатацию предприятиях, зданиях и сооружениях"" (СН 534-81) не указывается методика расчета стоимости строительства в валюте страны строительства.

Эта инструкция регламентирует процесс составления смет на пусконаладочные работы и определяет правила, которые должны применяться для этого. Она не предусматривает прямого использования валютных расчетов для строительства в валюте страны строительства.

Определение методики расчета стоимости строительства в валюте страны строительства необходимо производить по отдельной инструкции или документу, посвященному этому вопросу.","['Data1_2_2069_index', 'Data1_10_10864_index', 'Data1_2_2082_index']"
"На какой основе осуществляются перевозки грузов, пассажиров и их багажа, буксировка судов и плавучих объектов, погрузка и выгрузка грузов, оказание услуг в речных портах?"," Перевозки грузов, пассажиров и их багажа, буксировка судов и плавучих объектов, погрузка и выгрузка грузов, оказание услуг в речных портах осуществляются на платной основе в соответствии с гражданским законодательством России. Специальные правила для внутреннего водного транспорта также предусмотрены, а тарифы устанавливаются в соответствии с договорами и законами о естественных монополиях (для случаев естественных монополий).",['Кодекс внутреннего водного транспорта Российской Федерации']
Какие коэффициенты применяются к базовой цене проектирования театров для двух или более трупп согласно СНиП?," При проектировании театров для двух или более трупп (русской и национальной) на одном стационаре с общим основным залом базовая цена определяется по соответствующим ценам с коэффициентом до 1,15 по согласованию с заказчиком. Этот коэффициент применяется к архитектурно-строительной части проекта (табель 18 пункт 2).

Исходный текст:
Базовая цена проектирования театров для двух или более трупп (русской и национальной) на одном стационаре с общим основным залом определяется по соответствующим ценам с коэффициентом до 1,15 по согласованию с заказчиком.
Этот коэффициент применяется к архитектурно-строительной части проекта.","['Data1_10_10865_index', 'Data1_11_11835_index']"
Кто осуществляет государственное регулирование деятельности в области государственной авиации?, Уполномоченный орган в области обороны осуществляет государственное регулирование деятельности в области государственной авиации.,['Воздушный кодекс Российской Федерации']
"Как можно подать исковое заявление, заявление, жалобу, представление и иные документы в арбитражный суд?"," Исковое заявление, заявление, жалоба, представление и иные документы могут быть поданы в арбитражный суд на бумажном носителе или в электронном виде, в том числе в форме электронного документа.

Исковое заявление, заявление, жалоба, представление и иные документы в электронном виде могут быть поданы в суд посредством федеральной государственной информационной системы ""Единый портал государственных и муниципальных услуг (функций)"" (далее - единый портал государственных и муниципальных услуг), либо информационной системы, определенной Верховным Судом Российской Федерации, Судебным департаментом при Верховном Суде Российской Федерации, либо систем электронного документооборота участников арбитражного процесса с использованием единой системы межведомственного электронного взаимодействия.

Исковое заявление, заявление, жалоба, представление и иные документы, которые подаются посредством единого портала государственных и муниципальных услуг, информационной системы, определенной Верховным Судом Российской Федерации, Судебным департаментом при Верховном Суде Российской Федерации, могут быть подписаны простой электронной подписью в соответствии с законодательством Российской Федерации и порядком, определяемым Верховным Судом Российской Федерации, Судебным департаментом при Верховном Суде Российской Федерации, если настоящим Кодексом не установлено, что указанные документы должны быть подписаны усиленной квалифицированной электронной подписью.

Исковое заявление, заявление, жалоба, представление и иные документы, которые подаются посредством систем электронного документооборота участников арбитражного процесса, должны быть подписаны усиленной квалифицированной электронной подписью.","['Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации']"
Какие организации разработали этот документ? (ГОСТ), Институтом МосгзНИИпроект с участием специалистов эксплуатационных организаций и органов государственного надзора. Этот документ введен в действие постановлением Минстроя России от 13 сентября 1996 г. № 18-69.,"['Data1_1_1904_index', 'Уголовно-процессуальный кодекс Российской Федерации', 'Воздушный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Data1_2_2096_index']"
"В какие сроки лицо, лишенное специального права, должно сдать документы?"," Лицо, лишенное специального права, должно сдать указанные документы в течение трех рабочих дней со дня вступления в законную силу постановления о назначении административного наказания в виде лишения этого специального права.","['Административный кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации']"
