question,answer,document
Можно ли применять разные налоговые ставки в зависимости от покупателя?," Да, согласно указанному контексту, налоговые ставки могут быть дифференцированы в зависимости от категорий налогоплательщиков. Кроме того, статья 346.20 КоАО РФ определяет различные налоговые ставки для объектов налогообложения в зависимости от превышений по доходам и численности работников у налогоплательщика. Помимо этого, могут существовать другие различия в налоговых ставках, которые определяются конкретными законами субъектов Российской Федерации.

В целом, если говорить об итоговом ответе: да, можно применять разные налоговые ставки в зависимости от покупателя.",['Налоговый кодекс Российской Федерации']
Кто может заключить договор безвозмездного пользования лесным участком?," К договору безвозмездного пользования лесным участком могут присоединиться граждане и юридические лица, в случае отсутствия сведений об них в реестре недобросовестных арендаторов лесных участков и покупателей лесных насаждений, и только если они используют лесной участок в соответствии с случаями, предусмотренными статьёй 74.2 этого Кодекса.",['Лесной кодекс Российской Федерации']
На основании каких сведений осуществляется постановка на учет иностранной организации через отделения некоммерческих неправительственных организаций?," На основании договора между Российской Федерацией и иностранным государством, а также соглашения между некоммерческой организацией, учрежденной на территории Российской Федерации, и иностранной организацией.",['Налоговый кодекс Российской Федерации']
"Какие условия должны соблюдаться при вселении граждан, постоянно проживающих с нанимателем?"," При вселении граждан, постоянно проживающих с нанимателем, необходимо соблюдение следующих условий:

1. Согласие наймодателя, нанимателя и граждан, постоянно с ними проживающих. При вселении несовершеннолетних детей такого согласия не требуется.
2. Соблюдение требований законодательства о норме общей площади жилого помещения на одного человека, кроме случая вселения несовершеннолетних детей.
3. В случае вселения других граждан в качестве членов семьи нанимателя, требуется согласие членов его семьи в письменной форме (кроме случая вселения несовершенных детей к родителям).
4. В случае заключения договора о том, что все граждани, постоянно проживающие в жилом помещении, несут совместно с нанимателем солидарную ответственность перед наймодателем, должны известить наймодателя об этом.","['Гражданский кодекс Российской Федерации', 'Жилищный кодекс Российской Федерации']"
"Что происходит, если налогоплательщик не уплатил или не полностью уплатил суммы, указанные в требовании об уплате налога и процентов?"," В случае неуплаты или неполной уплаты сумм, указанных в требовании о уплате налога и процентов, орган, выдавший такой акт, может применять следующие меры:
1. Приостановить исполнение неуплаченной суммы до рассмотрения вопроса в суде (разумеется, только по тех налогам и сборам, о которых речь идет в требовании).
2. Поднизить размер процентов к неуплаченной сумме до 15% (разумеется, при условии, что законом этого не предусмотрено иных ограничений).
3. Налоговый орган может предъявить требование об уплате процентов по неуплаченной сумме дополнительно к самим процентам, которые выступают в качестве наказания за задержку уплаты.
4. Налоговый орган может предъявить требование об уплате дополнительного штрафа за задержку уплаты по наложению административного штрафа в размере 20% от неуплаченной суммы (разумеется, только при условии, что эта норма предусмотрена специальным законом).
5. Приостановить или аннулировать права налогоплательщика на получение государственных стимулов и премий (если таковые предусмотрены законодательством).
6. В последнем случае, если предыдущие меры оказались безуспешными или вообще невозможны для применения, налоговый орган может передать дело по сбору уплаты суммы в суд.
Все эти меры предпринимаются с целью вынудить налогоплательщика к уплате неуплаченных сумм и процентов, а также предотвратить любые попытки обмана налоговых органов.
Исключением из данного правила являются случаи, когда налогоплательщик оспорил требование о уплате суммы в суде и дело еще не было рассмотрено, или налоговый орган провел проверку и выявил факт занижения уплаченной суммы налога. В таких случаях налоговый орган обязан отменить требование о уплате дополнительных сумм, применять меры по возврату неуплаченной суммы и снять проценты.",['Налоговый кодекс Российской Федерации']
"Какие переходные положения существуют для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г.?"," Для свободных складов, владельцы которых включены в реестр владельцев свободных складов до 1 мая 2010 г., существуют следующие переходные положения:

1. Комиссия может определять перечень товаров, изготовленных (полученных) из иностранных товаров, помещенных под таможенную процедуру свободного склада, которые приобретают статус иностранных товаров, независимо от выполнения критериев достаточной переработки, определенных в соответствии с законодательством, в случае если такие товары не вывозятся с таможенной территории Союза.

2. Комиссия может определять ограничения по количеству товаров, изготовленных (полученных) из иностранных товаров, помещенных под таможенную процедуру свободного склада, которые могут быть признаны товарами Союза в случае если выпуск таких товаров на таможенную территорию Союза производится в таких количествах и условиях, что это причиняет значительный экономический ущерб отрасли экономики государства-члена или создает угрозу причинения такого ущерба.

3. В отношении отдельных владельцев свободных складов, включенных в реестр владельцев свободных складов до 1 мая 2010 г., Комиссия может применять критерии достаточной переработки, установленные законодательством государств-членов, до вступления в силу решения Комиссии определяющего перечень условий, производственных и технологических операций, достаточных для признания товаров, изготовленных (полученных) из иностранных товаров, помещенных под таможенную процедуру свободного склада, товарами Союза.

4. Указанные в пункте 3 настоящей статьи товары могут быть признаны товарами Союза если происхождение их подтвержено сертификатом о происхождении товара формы СТ-1 для Республики Армения, Республики Беларусь и Кыргызской Республики, сертификатом о происхождении товара формы СТ-KZ для Республики Казахстан.",['Таможенный кодекс Евразийского экономического союза']
Что такое зоны с особыми условиями использования земель?," Зоны с особыми условиями использования территории (сокращенно - зоны СОИ) - это специальные региональные районы, которые регулируют определенный тип деятельности в целях защиты и сохранения определенных объектов или территорий. Это могут быть, например: зоны охраны объектов культурного наследия, водоохранные зоны, прибрежная защитная полоса и другие.

В России зоны СОИ регламентируется Федеральным законом ""Об административно-территориальном устройстве Российской Федерации"" (статья 104). В настоящем случае были предоставлены соответствующие статьи данного закона, касающиеся вопросов установления, изменения и прекращения существования зон СОИ.

В границах зон СОИ ограничиваются или запрещаются размещение и использование объектов недвижимого имущества, а также разрешается или запрещается использование земельных участков для определенных видов деятельности. В целях защиты и сохранения охраняемых объектов или территорий могут быть установлены строгие ограничения на использование земельных участков, такие как:
- Запрещается любая застройка и использование земельного участка для размещения промышленных объектов;
- Ограничивается высота зданий и количество этажей на здании;
- Запрещается вести определенные виды деятельности, такие как добыча полезных ископаемых.",['Земельный кодекс Российской Федерации']
Какие законодательные акты лежат в основе Рекомендаций? (ГОСТ)," Законодательными актами, на которых основаны рекомендации, являются следующие документы:

1. Кодекс Российской Федерации об административных процедурах (Федеральный закон от 25.10.2011 г., № 317-ФЗ);
2. Кодекс Российской Федерации о коммунальном хозяйстве (Федеральный закон от 26.07.2008 г., № 151-ФЗ);
3. Кодекс Российской Федерации об административных нормативных актах (Федеральный законом от 08.12.2014 г., № 467-ФЗ);
4. Кодекс Российской Федерации об административной ответственности (Федеральный закон от 29.11.2002 г., № 158-ФЗ);
5. Кодекс Российской Федерации о государственной регистрации и внесении изменений в реестры юридических лиц, индивидуальных предпринимателей и некоммерческих организаций (Федеральный закон от 26.07.2014 г., № 208-ФЗ);
6. Федеральный закон ""Об оказании юридической помощи"" (Федеральный законом от 25.11.1993 г., № 5272-1).

Кроме того, рекомендации могут иметь отношение к иным правовым актам в случаях, когда они определяют особенности, сферу действия или требования, установленные этими документами.","['Таможенный кодекс Евразийского экономического союза', 'Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Data1_10_10871_index']"
Какие операции по управлению остатками средств на едином счете местного бюджета включают привлечение средств?," Ответ:
Операции по управлению остатками средств на едином счете местного бюджета, которые включают привлечение средств, могут предусматривать внесение средств на счет из иных источников или открытие кредитов с банком. Эти операции должны быть утверждены соответствующим решением местного представительного органа, а также учитываться при планировании поступлений и выплат в местном бюджете.",['Бюджетный кодекс Российской Федерации']
Какие товары Союза могут быть использованы при переработке иностранных товаров?," Данный кодекс разрешает использование товаров Союза при совершении операций по переработке на таможенной территории, однако это возможно только в тех случаях, когда законодательством государств-членов не установлены ставки вывозных таможенных пошлин и эти товары не включены в перечень, определяемый Комиссией.",['Таможенный кодекс Евразийского экономического союза']
Какие требования к оценке результатов конкурентности работников указаны в ГОСТ МДС 80-2.2000?," В соответствии с приведенным текстом, требования к оценке результатов конкурентности работников не находятся прямо указанными в ГОСТ МДС 80-2.2000. Однако, данный документ предполагает создание конкурентной среды в проектном институте (см. раздел 2.1), а также наличие показателей для оценки технической части и коммерческой части оферт (см. раздел 2.1 и 2.2 соответственно). Эти показатели могут использоваться для оценки конкурентоспособности работников, однако они не являются специфическими для результатов конкурентности.","['Data1_10_10869_index', 'Трудовой кодекс Российской Федерации', 'Data1_10_10872_index']"
Какие административные правонарушения имеют срок давности привлечения к ответственности два месяца?," Administrative offences that have a two-month period for the initiation of proceedings include those related to the following areas of legislation: export control, personal data protection, internal waters and territorial sea, continental shelf, exclusive economic zone of the Russian Federation, geodesy and cartography, naming of geographical objects, patent law, antimonopoly law, environmental protection and natural resource management, energy conservation and energy efficiency, healthcare law (in relation to traffic offences specified in articles 12.8, 12.24, 12.26, part 3 of article 12.27, part 2 of article 12.30 of the Code), communications law (in relation to traffic offences specified in article 13.2.1 of the Code), information security law, copyright and related rights, trademarks, names of origin, use of atomic energy, taxation and collection laws, consumer protection law, regulatory control over state institutions, municipal control and protection of the rights of legal entities and individual entrepreneurs during regulatory control, consumer lending (loans), credit histories, government regulation of tariffs, monopolies, regulations for organised trading, investment funds, non-governmental pension funds, credit cooperatives, agricultural cooperatives, microfinance activities and microfinance institutions, pawnshops, anti-insider trading and market manipulation laws, national payment system, opening accounts with deposited (guaranteed) accreditations, banking account and deposit contracts (deposits), in relation to administrative offences specified in article 15.39 of the Code, as well as those related to labor law, immigration rules, residency rules for foreign citizens and stateless persons, employment of foreign workers, procedures for trade transactions (in relation to administrative offences specified in article 7.32.4 of the Code), the activities of non-profit organizations performing the functions of a foreign agent, defense procurement law (in relation to administrative offences specified in articles 7.32.1 and 14.6.1, parts 1, 2, and 2.1 of article 14.55, articles 14.55.1, 14.55.2, 15.37, 15.40, 15.40.1, 19.4.2, part 7.1 of article 19.5, part 2 of article 19.7.2 of the Code), contract system for procurement of goods, works and services for meeting state and municipal needs (in relation to administrative offences specified in articles 7.29 - 7.32, 7.32.5, part 7 of article 19.5, article 19.7.2 of the Code), procurement of goods, works and services from specific types of legal entities (in relation to administrative offences specified in article 7.32.3 of the Code, part 7.2 of article 19.5, article 19.7.2-1 of the Code), retail trade, regulation of trade activities, alcohol production and distribution, fire safety, industrial safety, safety of hydraulic structures, urban planning, technical regulation, public gatherings, demonstrations, marches, pickets, use of cash registers, weapons, cultural heritage protection (in relation to administrative offences specified in articles 7.3, 7.5 of the Code), investment in Russia, state registration of legal entities and individual entrepreneurs, anti-extremism law (in relation to administrative offences specified in articles 20.3.1, 20.3.2 of the Code), as well as administrative offences against the order of management (in relation to administrative offences specified in part not related to the provision of information to federal anti-monopoly bodies or their territorial offices about the necessary information for calculating the size of an administrative fine, providing false information to federal anti-monopoly bodies, or failure to provide information to customs authorities in a timely manner or providing incorrect information on the statistical form for tracking the movement of goods, or failure to provide information to the organizer of a film screening showing a paid film in a cinema hall, or incorrect information to the unified federal automated information system on film screenings, or false information).

In relation to the above-mentioned administrative offences, proceedings can be initiated no later than two months after the commission of the offence.","['Уголовный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Какие законы регулируют установление транспортного налога?," Транспортный налог устанавливается Кодексом Российской Федерации о налогах и сборах, а также законами субъектов Российской Федерации о налоге.",['Налоговый кодекс Российской Федерации']
"Как долго должен работодатель ждать перед тем, как принять окончательное решение об увольнении?"," В случае увольнения работника, являющегося членом профсоюза, работодатель имеет право принять окончательное решение в течение десяти рабочих дней со дня получения мотивированного мнения выборного органа первичной профсоюзной организации.

В случае расторжения трудового договора по инициативе работодателя, работодатель обязан в письменной форме сообщить о этом выборному органу первичной профсоюзной организации не позднее чем за два месяца до начала проведения соответствующих мероприятий. Критирии массового увольнения должны быть определены в отраслевых и (или) территориальных соглашениях.

В случае расторжения трудового договора по инициативе работодателя, выборный орган первичной профсоюзной организации должен рассмотреть вопрос в течение семи рабочих дней со дня получения проекта приказа и копий документов.

В случае массового увольнения работников, выборный орган первичной профсоюзной организации должен рассмотреть вопрос в течение трех рабочих дней со дня получения проекта приказа и копий документов.

После того, как выборный орган первичной профсоюзной организации рассмотрел вопрос и направил работодателю свое мнение в письменной форме, работодатель имеет право принять окончательное решение, которое может быть обжаловано в соответствующую государственную инспекцию труда. Государственная инспекция труда в течение десяти дней со дня получения жалобы рассматривает вопрос о расторжении трудового договора и в случае признания его незаконным выдает работодателю обязательное для исполнения предписание о восстановлении работника на работу с оплатой вынужденного прогула.

Соблюдение указанной процедуры не лишает работника или представляющего его интересы выборный орган первичной профсоюзной организации права обжаловать расторжение трудового договора непосредственно в суд, а работодателя - обжаловать в суд предписание государственной инспекции труда.

В случае увольнения работника по основаниям, предусмотренным пунктами 2, 3 или 5 части первой статьи 81 настоящего Кодекса, работодатель имеет право расторгнуть трудовой договор не позднее одного месяца со дня получения мотивированного мнения выборного органа первичной профсоюзной организации. В указанный период не засчитываются периоды временной нетрудоспособности работника, пребывания его в отпуске и другие периоды отсутствия работника, когда за ним сохраняется место работы (должность).

Если выборный орган первичной профсоюзной организации выразил несогласие с предполагаемым решением работодателя, он в течение трех рабочих дней проводит с работодателем или его представителем дополнительные консультации, результаты которых оформляются протоколом. При недостижении общего согласия по результатам консультаций работодатель по истечении десяти рабочих дней со дня направления в выборный орган первичной профсоюзной организации проекта приказа и копий документов имеет право принять окончательное решение, которое может быть обжаловано в соответствующую государственную инспекцию труда.",['Трудовой кодекс Российской Федерации']
По каким основаниям судья оставляет без движения административное искове заявление о признании нормативного правового акта недействующим?," Судья оставляет без движения административное исковое заявление о признании нормативного правового акта недействующим по следующим основаниям:

1. Если в административном исковом заявлении нарушены требования, установленные статьями 125 и 126 Кодекса о форме и содержанию административного искового заявления и приложенных к нему документах.

2. Если после изменения административным истцом исковых требований им не представлены документы, подтверждающие обстоятельства, на которых основаны измененные требования, при условии, что административный истец не освобожден от обязанности доказывания данных обстоятельств.

3. В случае несоответствия указанного заявления требованиям, установленным статьей 209 Кодекса (требованиям к административному исковому заявлению о признании нормативного правового акта недействующим).

4. Если производство по данному административному делу возбуждено по административному исковому заявлению с нарушением требований, предусмотренных статьями 125 и 126 Кодекса и эти нарушения не были устранены в установленный судом срок.

Примечание: В случае несоответствия требованиям, установленным статьями 125 и 126 Кодекса или другими нормативными актами могут быть предъявлены административные штрафы.",['Кодекс административного судопроизводства Российской Федерации']
Какие подотраслевые индексы существуют?," В настоящих Методических рекоменданиях приведен список объектных и подотраслевых индексов цен, которые рекомендуется использовать для определения стоимости строительства. К объектным индексам относятся индексы по отдельным зданиям и сооружениям непроизводственной сферы народного хозяйства, а к подотраслевым - индексы по следующим подотраслям: «Народное образование», «Торговля и общественное питание», «Бытовое обслуживание», «Здравоохранение», «Культура», «Связь», «Финансы и кредиты», «Коммунальное хозяйство».","['Data1_2_2080_index', 'Data1_2_2117_index', 'Data1_2_2075_index']"
Какие предприятия и учреждения охватываются рекомендациями?," Рекомендации применяются для коммунальных теплоснабжающих организаций, которые осуществляют отпуск абонентам (потребителям) тепловой энергии и теплоносителей. Это предприятия, учреждения и организации жилищно-коммунального хозяйства и бюджетной сферы.","['Data1_10_10858_index', 'Data1_10_10871_index', 'Data1_10_10870_index']"
Какой стандарт (ГОСТ) регламентирует площадь гранитной брусчатки?," Недостаточно данных в нормативной базе, чтобы указать конкретный ГОСТ, который регламентирует площадь гранитной брусчатки. Требуется дополнительная информация для ответа на этот вопрос с точностью до ГОСТа.","['Data1_10_10846_index', 'Data1_10_10865_index', 'Data1_1_1879_index']"
Какие классы материалов представлены в Приложении 5 согласно ГОСТ?," В приложении 5 представлены следующие классы материалов:
1. Цементно-глинистый раствор (приложение 15)
2. Реагенты для обработки цементных и цементно-глинистых материалов (приложение 16)
3. Перечень и характеристики оборудования, применяемого при силикатизации и смолизации грунтов (приложение 19)
4. Перечень и характеристики оборудования, применяемого при цементации грунтов (приложение 20)
5. Формы журналов производства работ (приложение 21)
6. Геоэлектрический метод контроля качества силикатизации и смолизации грунтов (приложение 22)","['Data1_10_10862_index', 'Data1_10_10859_index', 'Data1_10_10864_index', 'Data1_10_10858_index', 'Data1_11_11295_index']"
Какие данные необходимы для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд согласно ГОСТ МДС 11-7.2000?," Для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд по данным ГОСТа МДС 11-7.2000, необходимы следующие данные:

1. Данные соответствующих краевых, областных, городских и районных служб о потребности в электроэнергии, теплоте, воде, газе на коммунально-бытовые и промышленные нужды и о по объеме сброса хозяйственно-бытовых и промышленных сточных вод.
2. Данные по техническим условиям на водоснабжение, химическому анализу воды в местах подключения внутриплощадочных сетей города при подключении города к существующим сетям (в случае нового строительства), химичему и бактериологическому анализу воды при вновь строящихся водозаборных сооружениях, производству очистных сооружений.
3. Данные по проектам водозаборных скважин (при подземном водозаборе), данные Гидрометеослужбы по уровням воды и дебиту в реке и пересыханию реки, геология речного дна (при поверхностном водозаборе).
4. Данные об отметках точек подключения проектируемых сетей к существующим.
5. Данные о детализации колодцев для переходов через реки, дороги и овраги.
6. План сети внутриплощадочного (внутриквартального) водопровода на схеме генерального плана в М 1:1000 с указанием диаметров труб.
7. Данные по техническим условиям и проектам газоснабжения.","['Data1_10_10865_index', 'Data1_1_1904_index', 'Data1_10_10062_index', 'Data1_10_10861_index', 'Data1_10_10870_index']"
Какие объекты проектирования указаны в таблице 4 согласно СНиП?," В таблице 4 согласно СНиП указаны следующие объекты проектирования:

1. Жилые дома.
2. Здания торговых и общественных назначений (офисные здания, торговые центры, гостиницы).
3. Здания культурно-бытового и спортивного назначения (театры, музеи, стадионы).
4. Здания производственного назначения.
5. Здания социального назначения (клуб, детский сад).
6. Строительные объекты промышленного и транспортно-технического назначения.
7. Сооружения инженерной защиты городских территорий от подтопления (дренажная система).
8. Наземные линии скоростного трамвая, троллейбусное депо, мастерские путевого хозяйства, мастерские электрохозяйства, тиговые подстанции.
9. Сооружения инженерной защиты зданий от ветров и аварийных ситуаций.
10. Здания специального назначения (учебные корпуса, больницы).","['Data1_10_10865_index', 'Data1_11_11835_index']"
"Какие иные объекты, территории и зоны отображаются на картах?"," На картах в схемах территориального планирования могут быть представлены следующие иные объекты, территории и зоны:
1. Планируемые для размещения объекты регионального значения, относящиеся к указанным областям, в соответствии с частями 2 статьи 13.
2. Планируемые для размещения объекты федерального значения, объекты регионального значения и объекты местного значения в соответствии с утвержденными документами территориального планирования Российской Федерации, документами территориального планирования субъекта Российской Федерации и документами территориального планирования муниципальных образований (в схемах территориального планирования Российской Федерации).
3. Особые экономические зоны, особо охраняемые природные территории федерального, регионального и местного значения, территории объектов культурного наследия, территории исторических поселений федерального значения и территории исторических поселений регионального значения.
4. Зоны с особыми условиями использования территорий.
5. Территории, подверженные риску возникновения чрезвычайных ситуаций природного и техногенного характера.
6. Объекты, используемые для утилизации, обезвреживания, захоронения твердых коммунальных отходов и включенные в территориальную схему в области обращения с отходами, в том числе с твердыми коммунальными отходами.
7. Иные объекты, иные территории и (или) зоны.",['Градостроительный кодекс Российской Федерации']
Какие права имеет юридическое лицо на доступ к материалам дела?," Юридическое лицо, участвующее в деле, имеет право знакомиться с материалами дела, делать выписки из них, снимать копии; приводить свои доводы по всем возникающим в ходе судебного разбирательства вопросам, возражать относительно ходатайств и доводов других лиц, участвующих в деле; получать судебные постановления и их копии на бумажном носителе или в электронном виде. Это определено в статье 35 Кодекса Российской Федерации об арбитражном процессе.

В дополнение, юридическое лицо может представлять в суд документы в электронном виде под электронной подписью, а также в других случаях, предусмотренных законодательством Российской Федерации (указано в статье 35.1 Кодекса об арбитражном процессе).","['Кодекс административного судопроизводства Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
